ID,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Tenure_Days,Tenure_Segment,Enrollment_Year,Enrollment_Month,Enrollment_Quarter,Cohort,TotalSpend,MntWines_Proportion,MntFruits_Proportion,MntMeatProducts_Proportion,MntFishProducts_Proportion,MntSweetProducts_Proportion,MntGoldProds_Proportion,SpendingDiversity,PrimarySpendCategory,TotalAcceptedCampaigns,CampaignResponseRate,Children,HasChildren,Age,Generation,LifeStage,TotalPurchases,PreferredChannel,ChannelDiversity,AvgSpend,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Income_per_Age,SpendToIncome,CampaignToPurchase,Spend_per_Year,Estimated_CLV,AgeGroup
5524,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,848,Loyal (>2yr),2012,9,3,2012-09,1617,0.39270253555967843,0.05442176870748299,0.33766233766233766,0.10636982065553494,0.05442176870748299,0.05442176870748299,6,Wines,0,0.0,0,0,57,Boomers,Older Single/Couple,25,Catalog,4,64.68,1,5,5,155,At Risk,1019.9649122807018,0.027813134266744644,0.0,696.4731721698113,2089.419516509434,50-60
2174,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,298,Developing (3-12mo),2014,3,1,2014-03,27,0.4074074074074074,0.037037037037037035,0.2222222222222222,0.07407407407407407,0.037037037037037035,0.2222222222222222,6,Wines,0,0.0,2,1,60,Boomers,Older Family,6,Deals,4,4.5,5,1,1,511,New Customers,772.4,0.0005825996892801658,0.0,33.093120805369125,99.27936241610738,50-60
4141,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,497,Established (1-2yr),2013,8,3,2013-08,776,0.5489690721649485,0.06314432989690721,0.163659793814433,0.14304123711340205,0.027061855670103094,0.05412371134020619,6,Wines,0,0.0,0,0,49,Gen X,Middle-Aged Single/Couple,21,Store,4,36.95238095238095,3,4,4,344,Loyal Customers,1461.4897959183672,0.010836021392763883,0.0,570.2897384305835,1710.8692152917506,40-50
6182,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,324,Developing (3-12mo),2014,2,1,2014-02,53,0.20754716981132076,0.07547169811320754,0.37735849056603776,0.18867924528301888,0.05660377358490566,0.09433962264150944,6,Meat,0,0.0,1,1,30,Millennials,Young Family,8,Store,3,6.625,5,2,1,521,New Customers,888.2,0.0019890415071680554,0.0,59.74768518518518,179.24305555555554,<30
5324,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,346,Developing (3-12mo),2014,1,1,2014-01,422,0.4099526066350711,0.1018957345971564,0.2796208530805687,0.10900473933649289,0.06398104265402843,0.035545023696682464,6,Wines,0,0.0,1,1,33,Millennials,Young Family,19,Store,4,22.210526315789473,4,4,3,443,Loyal Customers,1766.4545454545455,0.007239291167035493,0.0,445.478323699422,1336.434971098266,30-40
7446,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,478,Established (1-2yr),2013,9,3,2013-09,716,0.7262569832402235,0.05865921787709497,0.13687150837988826,0.0,0.05865921787709497,0.019553072625698324,5,Wines,0,0.0,1,1,47,Gen X,Middle-Aged Family,22,Store,4,32.54545454545455,3,4,4,344,Loyal Customers,1330.063829787234,0.011453617647529314,0.0,547.1108786610879,1641.3326359832636,40-50
965,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,778,Loyal (>2yr),2012,11,4,2012-11,590,0.3983050847457627,0.11016949152542373,0.27796610169491526,0.0847457627118644,0.08305084745762711,0.04576271186440678,6,Wines,0,0.0,1,1,43,Gen X,Middle-Aged Family,21,Web,4,28.095238095238095,1,4,3,143,At Risk,1293.8372093023256,0.010604835085827267,0.0,276.9890745501285,830.9672236503856,40-50
6177,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,602,Established (1-2yr),2013,5,2,2013-05,169,0.44970414201183434,0.05917159763313609,0.33136094674556216,0.01775147928994083,0.005917159763313609,0.13609467455621302,6,Wines,0,0.0,1,1,29,Millennials,Young Family,10,Web,3,16.9,3,2,2,322,Potential Loyalists,1153.5862068965516,0.0050517127996652115,0.0,102.53696013289036,307.61088039867104,<30
4855,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,573,Established (1-2yr),2013,6,2,2013-06,46,0.30434782608695654,0.0,0.5217391304347826,0.06521739130434782,0.06521739130434782,0.043478260869565216,5,Meat,0,0.0,1,1,40,Millennials,Middle-Aged Family,6,Web,3,7.666666666666667,3,1,1,311,Others,758.775,0.001515600803927383,0.0,29.32198952879581,87.96596858638743,30-40
5899,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,293,Developing (3-12mo),2014,3,1,2014-03,49,0.5714285714285714,0.0,0.12244897959183673,0.02040816326530612,0.02040816326530612,0.2653061224489796,5,Wines,1,0.2,2,1,64,Boomers,Older Family,2,Deals,2,24.5,5,1,1,511,New Customers,88.25,0.008675637393767706,0.5,61.08276450511946,183.24829351535837,60+
1994,Graduation,Married,52028.5,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0,411,Established (1-2yr),2013,11,4,2013-11,19,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.0,0.10526315789473684,0.05263157894736842,5,Meat,0,0.0,1,1,31,Millennials,Young Family,4,Store,3,4.75,4,1,1,411,New Customers,1678.3387096774193,0.0003651844662060217,0.0,16.885036496350363,50.655109489051085,30-40
387,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,778,Loyal (>2yr),2012,11,4,2012-11,61,0.09836065573770492,0.26229508196721313,0.18032786885245902,0.18032786885245902,0.01639344262295082,0.26229508196721313,6,Fruits,0,0.0,0,0,38,Millennials,Middle-Aged Single/Couple,6,Store,3,10.166666666666666,1,1,2,112,Dormant,197.3684210526316,0.008133333333333333,0.0,28.637853470437015,85.91356041131104,30-40
2125,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,411,Established (1-2yr),2013,11,4,2013-11,1102,0.17604355716878403,0.05535390199637023,0.4355716878402904,0.20417422867513613,0.10163339382940109,0.02722323049001815,6,Meat,0,0.0,0,0,55,Gen X,Older Single/Couple,16,Store,4,68.875,4,3,4,434,Loyal Customers,1146.0545454545454,0.01748290577951232,0.0,979.3321167883212,2937.9963503649633,50-60
8180,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,411,Established (1-2yr),2013,11,4,2013-11,310,0.7516129032258064,0.0064516129032258064,0.17096774193548386,0.00967741935483871,0.016129032258064516,0.04516129032258064,6,Wines,0,0.0,2,1,62,Boomers,Older Family,15,Web,4,20.666666666666668,4,3,3,433,Loyal Customers,957.3225806451613,0.005222899888802777,0.0,275.492700729927,826.4781021897809,60+
2569,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,812,Loyal (>2yr),2012,10,4,2012-10,46,0.06521739130434782,0.30434782608695654,0.3695652173913043,0.13043478260869565,0.021739130434782608,0.10869565217391304,6,Meat,0,0.0,0,0,27,Millennials,Young Single/Couple,5,Store,3,9.2,1,1,1,111,Dormant,641.5925925925926,0.0026554291981758355,0.0,20.69150246305419,62.07450738916256,<30
2114,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,767,Loyal (>2yr),2012,11,4,2012-11,1315,0.7650190114068441,0.016730038022813688,0.08745247148288973,0.044866920152091254,0.05171102661596958,0.034220532319391636,6,Wines,2,0.4,0,0,68,Boomers,Older Single/Couple,26,Store,4,50.57692307692308,1,5,5,155,At Risk,1217.6470588235295,0.015881642512077295,0.07692307692307693,626.210886571056,1878.6326597131679,60+
9736,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,737,Loyal (>2yr),2012,12,4,2012-12,96,0.5520833333333334,0.052083333333333336,0.19791666666666666,0.020833333333333332,0.13541666666666666,0.041666666666666664,6,Wines,0,0.0,2,1,34,Millennials,Young Family,9,Deals,3,10.666666666666666,2,2,2,222,Needs Attention,1230.8823529411766,0.0022939068100358423,0.0,47.576662143826326,142.72998643147898,30-40
