Feature,Importance
Recency,0.09367602227075303
Customer_Tenure,0.07800654076683138
Income,0.06270021897145735
TotalSpend,0.06243077168608277
MntWines,0.05650416695321532
AcceptedCmp5,0.054738605602011485
MntMeatProducts,0.054654575739006984
AcceptedCmp3,0.0497957042131967
MntGoldProds,0.043874976805718925
Age,0.04006758452417017
AcceptedCmp1,0.0383097644838631
MntSweetProducts,0.03614733401905251
NumStorePurchases,0.03496773580222552
NumCatalogPurchases,0.033970800344496094
MntFishProducts,0.03302012053601391
MntFruits,0.032409858680891815
NumWebVisitsMonth,0.03237399902740421
NumWebPurchases,0.024904036033423397
NumDealsPurchases,0.02324587179232611
Children,0.0172038314373917
Education_PhD,0.01159124233564248
AcceptedCmp4,0.010744311011407754
Marital_Status_Single,0.00980042249710581
AcceptedCmp2,0.008536726098832895
Marital_Status_Married,0.007635865656578677
Marital_Status_Together,0.007556743383258838
Marital_Status_Divorced,0.006233338468959954
Education_Graduation,0.006202753559211361
Marital_Status_Widow,0.005905924680152181
AgeGroup_31-45,0.005567247265055959
AgeGroup_46-60,0.0049642770659271765
Education_Master,0.00469184591113399
AgeGroup_61+,0.004317515734637097
Education_Basic,0.0012982617964957938
Complain,0.001005103962118857
Marital_Status_Alone,0.0005444948334982028
Marital_Status_YOLO,0.0004014060504505749
